eventID,name
1,THE NEW LEADERSHIP SKILL - สู่การเป็นผู้นำยุคใหม่
2,International Accreditation for Higher Education Institutions in Thailand
3,6-DAY MEDITATION HOLIDAYS
4,Exceptional Embroidery
5,Circoloco Thailand
6,ARTIFICIAL INTELLIGENCE (AI) COMPREHENSIV
7,Basic Haute couture! พื้นฐานงานปักชั้นสูงแบบฝรั่งเศส
8,Singha Obstacle Race 2018 สิงห์ เก่ง แกร่ง กล้า 2561 สนามที่ 11
9,Fantastic Creative Beads
10,Sales100Million Present: Sales Mastery 19th Class - หลักสูตรอบรมนักขายอย่างมืออาชีพ
11,“พัฒนาสมองสู่ความเป็นอัจฉริยะ” Brain Intelligence Conference
12,SMEs “มานี่” มีรวย (ยกกำลัง 2) AI ช่วยขายของอัติโนมัติ 24 ชม.
13,"Halfmoon Festival Koh Phangan, Thailand I 27th APRIL 2019"
14,Half Moon Festival | 06.04.19
15,Cal-Comp & XYZprinting ITF Pro Circuit 2018 15K #W4
16,Thunder Bolt Project 2018 | TBP
17,Bot Creator [Train the Trainer]
18,[Talk] Once in a Lifetime in Higashikawa by Thai High School Students
19,Hangover Brunch at Red Oven | 1 January 2019
20,New Year Eve 2019 Celebration
21,Cover Notebook by Woodcut
22,NYE 2019 NEON POOL PARTY
23,VIETNAM BLOCKCHAIN DAY | SEASON 2 DEC 2018
24,KANNAS CREATIVE LIVING: Surf-inspired workout classes
25,Goalkeeping Centre 2018 | GKC
26,คอร์สร่วม ขายดีด้วยเว็บไซต์ อัพยอดขายด้วย Facebook Ads
27,Coptic Bookbinding Workshop
28,Valuation Master Class Live
29,Rotary Magkang Marathon โรตารีหมากแข้ง มาราธอน 2019
30,Splash Pool Party - 15 December
31,OPEN STUDIO
32,Embedded Technology & IoT
33,Pottery Painting by Temp. Studio
34,2 in 1 คอร์สสร้างเว็บไซต์และการตลาดออนไลน์ (Master of Digital Business)
35,คอร์ส เซียนขายฝากอสังหาฯเงิน 100 ล้าน
36,Basic Web Development : สร้างเว็บไซต์ง่ายๆ ด้วยตัวเอง ใน 2 วัน
37,Countdown at The Water Club | 31 December | SO Sofitel Bangokok
38,Illuzion Phuket 4th Anniversary w/ Afrojack | 19.12.18
39,An Evening of Telepathy
40,MUAY THAI FIGHT NIGHT SAMUI
41,CHIANG MAI HERITAGE TOUR
42,Full Moon Festival | 20.04.19
43,KANNAS CREATIVE LIVING: Thai Spicy Salad Cooking Class
44,The Ultimate Dining Experience with the Newest 3-Michelin Star in France
45,KILORUN HANOI 2019
46,Exclusive Meet & Greet with METROPOLIS de ONELIA
47,BassClef x Freestylers x Shabba D and Skibadee x LTJ Bukem
48,Facebook Ads Workshop สด 2 วันเต็ม (เพิ่มรอบแล้ว)
49,Steps to Become a Valuation Master
50,Young Electronics Camp รุ่นที่ 4 ระดับประถมศึกษาตอนต้น
51,Hand-On : Microsoft Certified Azure Administrator Associate
52,Hand-On : Microsoft Certified Azure Solutions Architect Expert
53,A little ladybrid in the garden workshop
54,XXO Party Neon Night - Gay Dance Circuit Party
55,3-Michelin-Star Dining with Chef Thomas Bühner
56,FREE : สัมมนา แกะรอย 100ล้าน แค่...พลิกมุมคิดก็พลิกธุรกิจสู่ 100ล้าน
57,Magic Land at Pantip Chiang Mai
58,Chiang Mai Maker Party 2018 (Education for the Future)
59,Gurugunza 24 First Meeting<U+200B> #มึงอีกแล้วเหรอ<U+200B> Show DHEIB
60,Create Painted Jewelry จิวเวลรี่ดีไซน์เองได้(ใส่เองด้วย)
61,REFINE YOUR AUTHENTICITY กลั่นความชัดเจนภายใน สู่อิสระพลังสร้างสรรค์”
62,Hand-On MCSE: Cloud Platform and Infrastructure (Windows Server 2016/2019 track) รุ่นที่ 2
63,NIPPON HERE: WALKINGS LIVE IN THAILAND 2018
64,Damm Mediterranean Cruise 8 December 2018
65,"Halfmoon Festival Koh Phangan, Thailand I 12th APRIL 2019"
66,"Halfmoon Festival Koh Phangan, Thailand I 27th FEB 2019"
67,6 FEET RUN 2019 @เชียงใหม่ “ฮ๊กขาปาหมาล่น”
68,Go Running Khonkaen Mini Marathon โดย หอการค้าจังหวัดขอนแก่น
69,Exchange 2013/2016 Monitoring and Troubleshooting
70,Flutter Live in Thai Viewing Party
71,ขายง่าย ขายไว สร้างร้านค้าออนไลน์ในวันเดียว
72,Filigree Jewelry Workshop
73,#CMDW18 Crafts Talks: เราครีเอทีฟและสร้างนวัตกรรมในกระบวนทำงานช่างฝีมือพื้นบ้านได้หรือไม่?
74,Double Drop 2018: NYE Pool & Riverside Party!
75,Cheese@SO | Friday 27 December 2018
76,FREE : สัมมนา 3เทคนิคปั้นธุรกิจออนไลน์ให้ได้อย่างเซียน
77,SO Pool Party : Saturday 29 December 2018